timestamp_ms,timestamp_abs,ir_value
1705.6261999969138,1773174246.4308789,119456.0
1707.3466000001645,1773174246.4326,119477.0
1710.2059000026202,1773174246.4354594,119465.0
1711.866600002395,1773174246.4371204,119501.0
1715.135200007353,1773174246.4403887,119476.0
1716.8181000015466,1773174246.4420714,119503.0
1720.220800008974,1773174246.4454744,119478.0
1721.3909999991301,1773174246.4466448,119510.0
1725.1878999959445,1773174246.4504411,119481.0
1726.6601000010269,1773174246.4519134,119518.0
1729.9874000018463,1773174246.4552407,119490.0
1731.6357999952743,1773174246.4568896,119503.0
1734.548899999936,1773174246.4598024,119513.0
1736.2020000000484,1773174246.4614558,119519.0
1739.362499996787,1773174246.4646165,119536.0
1740.8946000068681,1773174246.4661481,119520.0
1744.0981999970973,1773174246.4693522,119529.0
1745.7449000066845,1773174246.4709988,119551.0
1748.983400000725,1773174246.474237,119534.0
1751.6496000025654,1773174246.4769032,119540.0
1754.666000008001,1773174246.4799197,119541.0
1756.3568000041414,1773174246.4816103,119531.0
1759.2135000013513,1773174246.4844668,119570.0
1760.9052000043448,1773174246.4861586,119554.0
1764.1053999977885,1773174246.4893591,119566.0
1767.2607999993488,1773174246.4925141,119571.0
1768.9018999953987,1773174246.4941554,119576.0
1772.0760000083828,1773174246.4973297,119562.0
1773.7855000013951,1773174246.499039,119581.0
1778.114300002926,1773174246.5033677,119571.0
1779.6248999948148,1773174246.5048785,119582.0
1782.708200000343,1773174246.5079615,119575.0
1784.3928000074811,1773174246.5096467,119590.0
1787.5539999949979,1773174246.5128078,119561.0
1789.230199996382,1773174246.5144842,119584.0
1792.2822999971686,1773174246.5175357,119575.0
1793.9370999956736,1773174246.519191,119583.0
1797.1189999952912,1773174246.522373,119567.0
1798.9823999960208,1773174246.5242355,119572.0
1801.7426000005798,1773174246.5269957,119574.0
1804.8293000028934,1773174246.5300827,119603.0
1807.8392000024905,1773174246.5330925,119585.0
1809.3634999968344,1773174246.534617,119605.0
1812.3533000034513,1773174246.5376072,119590.0
1814.0694000030635,1773174246.5393229,119604.0
1816.9297999993432,1773174246.5421832,119578.0
1819.98480000766,1773174246.5452383,119589.0
1823.2763999985764,1773174246.5485299,119573.0
1824.7291000006953,1773174246.5499825,119583.0
1827.4420000088867,1773174246.5526955,119571.0
1828.948099995614,1773174246.5542016,119584.0
1832.1157000027597,1773174246.557369,119575.0
1835.0198999978602,1773174246.5602734,119569.0
1836.6689999966184,1773174246.5619228,119581.0
1840.0221000047168,1773174246.5652754,119576.0
1842.641299997922,1773174246.5678942,119593.0
1844.3303999956697,1773174246.569584,119582.0
1847.535599998082,1773174246.5727892,119582.0
1850.8347000024514,1773174246.576088,119585.0
1852.5049000018043,1773174246.5777588,119566.0
1855.648900003871,1773174246.5809023,119584.0
1857.3930999991717,1773174246.5826466,119566.0
1860.608000002685,1773174246.5858612,119562.0
1862.2816999995848,1773174246.5875356,119585.0
1865.4698000027565,1773174246.5907235,119563.0
1867.033000002266,1773174246.5922868,119576.0
1870.2058000053512,1773174246.5954597,119544.0
1871.8489000020782,1773174246.5971029,119573.0
1874.8406000086106,1773174246.6000938,119558.0
1878.2185000018217,1773174246.6034715,119564.0
1881.0029000014765,1773174246.6062565,119545.0
1882.7030999964336,1773174246.6079564,119568.0
1885.2503999951296,1773174246.6105042,119572.0
1886.9049000059022,1773174246.6121588,119579.0
1890.1704000018071,1773174246.615424,119552.0
1893.0512000079034,1773174246.6183045,119591.0
1894.7587000002386,1773174246.6200123,119581.0
1897.965900003328,1773174246.6232193,119591.0
1900.6035000056727,1773174246.625857,119584.0
1902.3170000000391,1773174246.6275704,119614.0
1905.1256999955513,1773174246.6303792,119576.0
1906.9231000030413,1773174246.6321764,119609.0
1909.742300005746,1773174246.6349957,119594.0
1912.4106999952346,1773174246.6376646,119593.0
1915.5713000072865,1773174246.640825,119604.0
1916.8159999971977,1773174246.6420696,119589.0
1919.9976000090828,1773174246.6452513,119598.0
1923.33740000322,1773174246.6485906,119587.0
1924.7360000008484,1773174246.6499894,119588.0
1927.5884999951813,1773174246.652842,119593.0
1930.63400000392,1773174246.6558876,119608.0
1933.4803999954602,1773174246.6587336,119589.0
1935.1188000000548,1773174246.6603723,119622.0
1938.3493000059389,1773174246.6636033,119586.0
1940.037200009101,1773174246.665291,119610.0
1942.7030000078958,1773174246.6679554,119605.0
1945.559100000537,1773174246.6708114,119622.0
1948.8667999976315,1773174246.6741197,119592.0
1950.2514000050724,1773174246.6755044,119599.0
1953.6335000011604,1773174246.6788867,119597.0
1954.9234000005526,1773174246.680177,119625.0
1957.90140000463,1773174246.6831546,119614.0
1961.11839999503,1773174246.6863718,119616.0
1962.7672000060556,1773174246.688021,119605.0
1965.9274000005098,1773174246.6911814,119624.0
1969.0903000009712,1773174246.6943436,119615.0
1970.7384000066668,1773174246.6959922,119637.0
1973.753600002965,1773174246.6990073,119628.0
1974.9952999991365,1773174246.7002482,119642.0
1977.934099995764,1773174246.7031875,119634.0
1980.9173999965424,1773174246.706171,119641.0
1984.0721000073245,1773174246.7093253,119650.0
1985.629600007087,1773174246.7108831,119658.0
1988.8134000066202,1773174246.7140672,119646.0
1990.5280999955721,1773174246.7157817,119650.0
1993.531800006167,1773174246.718785,119667.0
1995.189000008395,1773174246.7204428,119642.0
1998.581000007107,1773174246.7238343,119674.0
1999.7943000053056,1773174246.7250476,119670.0
2003.0286999972304,1773174246.7282822,119676.0
2006.053699995391,1773174246.7313073,119671.0
2007.7500000043074,1773174246.7330039,119686.0
2011.723700008588,1773174246.7369769,119683.0
2013.4494999947492,1773174246.7387033,119679.0
2016.4942999981577,1773174246.7417476,119670.0
2018.0891000054544,1773174246.7433426,119675.0
2021.2608000001637,1773174246.7465148,119663.0
2022.9045000014594,1773174246.7481585,119686.0
2025.9014000039315,1773174246.751155,119686.0
2029.1362999996636,1773174246.75439,119695.0
2031.9654000049923,1773174246.7572188,119670.0
2033.6215999996057,1773174246.758875,119699.0
2036.8392000091262,1773174246.7620928,119682.0
2038.495500004501,1773174246.7637491,119696.0
2041.568600005121,1773174246.7668219,119675.0
2043.1830000015907,1773174246.7684362,119686.0
2046.4553000056185,1773174246.7717087,119683.0
2048.09720000776,1773174246.773351,119699.0
2051.284700006363,1773174246.7765381,119691.0
2052.9799000069033,1773174246.7782333,119726.0
2056.060400005663,1773174246.781314,119703.0
2057.7296999981627,1773174246.7829835,119705.0
2060.9315000037896,1773174246.786185,119697.0
2064.176800005953,1773174246.7894304,119719.0
2065.8752000017557,1773174246.7911286,119711.0
2068.79370000388,1773174246.794047,119731.0
2071.8343000044115,1773174246.7970881,119698.0
2073.612599997432,1773174246.798866,119731.0
2076.643399996101,1773174246.801897,119737.0
2078.328200004762,1773174246.803582,119739.0
2081.6810999967856,1773174246.8069346,119744.0
2083.3821999985958,1773174246.8086338,119734.0
2086.2808999954723,1773174246.8115344,119742.0
2087.9560000030324,1773174246.8132098,119742.0
2091.2259000033373,1773174246.8164794,119753.0
2094.7990999993635,1773174246.8200521,119735.0
2096.4974999951664,1773174246.821751,119756.0
2099.718400000711,1773174246.8249717,119744.0
2100.9446999960346,1773174246.826198,119769.0
2104.2020000022603,1773174246.8294556,119747.0
2107.0393999980297,1773174246.8322928,119769.0
2109.652500002994,1773174246.834906,119740.0
2111.1347999976715,1773174246.8363886,119755.0
2114.2989000072703,1773174246.8395529,119745.0
2116.100200000801,1773174246.8413537,119765.0
2120.365099995979,1773174246.8456185,119745.0
2122.0918000035454,1773174246.847345,119763.0
2123.752900006366,1773174246.8490067,119749.0
2127.0025999983773,1773174246.8522563,119784.0
2130.175099999178,1773174246.855429,119757.0
2131.760400006897,1773174246.857014,119775.0
2134.946000005584,1773174246.8601992,119765.0
2136.602099999436,1773174246.861856,119785.0
2139.7696000058204,1773174246.8650234,119771.0
2141.413500008639,1773174246.8666675,119786.0
2144.332099996973,1773174246.8695858,119779.0
2145.9814999980154,1773174246.8712354,119793.0
2149.0259999991395,1773174246.8742795,119785.0
2151.8251999950735,1773174246.8770783,119787.0
2154.903500006185,1773174246.880157,119793.0
2156.140899998718,1773174246.8813944,119798.0
2159.309199996642,1773174246.8845618,119811.0
2161.011400006828,1773174246.8862648,119805.0
2164.266100007808,1773174246.8895202,119801.0
2165.9093000052962,1773174246.8911633,119812.0
2169.7189999977127,1773174246.8949718,119813.0
2172.8015999979107,1773174246.898055,119801.0
2174.4934000016656,1773174246.899747,119790.0
2177.6456000079634,1773174246.902899,119793.0
2179.3407000077423,1773174246.9045947,119806.0
2182.145099999616,1773174246.9073987,119791.0
2184.004599999753,1773174246.9092574,119802.0
2186.7022000078578,1773174246.9119556,119808.0
2189.8657999990974,1773174246.9151196,119807.0
2193.1028999970295,1773174246.9183564,119801.0
2194.803000005777,1773174246.9200563,119824.0
2198.0149000009988,1773174246.9232686,119790.0
2199.8437000002014,1773174246.9250972,119819.0
2202.487700007623,1773174246.92774,119812.0
2204.178400003002,1773174246.9294322,119824.0
2206.7274000000907,1773174246.9319808,119813.0
2209.083900001133,1773174246.9343374,119840.0
2212.224700007937,1773174246.9374778,119830.0
2213.9332000078866,1773174246.9391866,119834.0
2217.392499995185,1773174246.942646,119826.0
2219.1474999999627,1773174246.9443998,119841.0
2227.93370000727,1773174246.953185,119827.0
2229.2344000015873,1773174246.9544868,119845.0
2230.987600007211,1773174246.9562404,119836.0
2232.7086000004783,1773174246.9579623,119837.0
2234.267000007094,1773174246.9595194,119840.0
2235.8966000028886,1773174246.9611487,119837.0
2237.155199996778,1773174246.9624078,119851.0
2240.0234999950044,1773174246.9652758,119839.0
2243.1136000086553,1773174246.9683654,119861.0
2244.7856000071624,1773174246.970038,119856.0
2248.125900005107,1773174246.9733784,119858.0
2249.8887999972794,1773174246.9751415,119842.0
2253.1427000067197,1773174246.9783938,119871.0
2256.0026999999536,1773174246.9812548,119860.0
2257.3904000018956,1773174246.982643,119868.0
2261.0000999993645,1773174246.9862516,119855.0
2262.2799999953713,1773174246.987533,119881.0
