timestamp_ms,timestamp_abs,ir_value
1.4455000055022538,1773162290.682362,119434.0
3.289300002506934,1773162290.684205,119467.0
5.9886999952141196,1773162290.6869051,119440.0
9.221000000252388,1773162290.6901376,119467.0
12.190900000859983,1773162290.693107,119409.0
13.652199995703995,1773162290.6945689,119467.0
16.86119999794755,1773162290.6977782,119417.0
18.655399995623156,1773162290.6995726,119448.0
21.517800007131882,1773162290.7024343,119420.0
23.228599995491095,1773162290.7041454,119456.0
26.194599995505996,1773162290.707111,119410.0
29.385500005446374,1773162290.7103019,119431.0
32.480599998962134,1773162290.7133975,119386.0
34.1344000044046,1773162290.7150514,119404.0
37.24289999809116,1773162290.7181597,119381.0
38.9125000074273,1773162290.7198296,119365.0
42.21070000494365,1773162290.7231276,119336.0
43.64980000536889,1773162290.7245665,119335.0
46.619500004453585,1773162290.7275362,119327.0
48.31680000643246,1773162290.729234,119298.0
51.116900009219535,1773162290.7320337,119300.0
54.026099998736754,1773162290.734943,119276.0
57.306200003949925,1773162290.7382228,119261.0
58.6126999987755,1773162290.73953,119249.0
61.84959999518469,1773162290.7427664,119238.0
63.18260000261944,1773162290.7440996,119223.0
66.13210000796244,1773162290.7470493,119226.0
69.28979999793228,1773162290.7502072,119190.0
72.40900000033434,1773162290.7533255,119199.0
74.08800000848714,1773162290.755005,119180.0
77.08410000486765,1773162290.7580013,119173.0
80.26109999627806,1773162290.761178,119133.0
81.9000000046799,1773162290.7628176,119154.0
85.04839999659453,1773162290.7659662,119124.0
86.70050000364427,1773162290.7676177,119134.0
89.72669999639038,1773162290.7706437,119108.0
91.35099999548402,1773162290.7722683,119124.0
94.59249999781605,1773162290.7755098,119079.0
97.26320000481792,1773162290.7781796,119082.0
99.9664999981178,1773162290.7808828,119045.0
101.50620000786148,1773162290.7824233,119082.0
104.88159999658819,1773162290.7857978,119044.0
106.13440000452101,1773162290.7870507,119084.0
109.04239999945275,1773162290.789959,119035.0
112.02500000945292,1773162290.7929416,119055.0
114.49659999925643,1773162290.7954133,119052.0
116.15790000359993,1773162290.797075,119065.0
119.33480000880081,1773162290.8002524,119032.0
122.47230000502896,1773162290.8033895,119032.0
124.12989999575075,1773162290.8050475,119014.0
127.15980000211857,1773162290.8080773,119040.0
130.45769999735057,1773162290.8113744,119014.0
132.10119999712333,1773162290.813018,119030.0
135.4291000025114,1773162290.816346,119026.0
